"Fonte","Atividade","Valor"
"Brasil","4.35.35010 Geração, transmissão e distribuição de energia elétrica","200313"
"Brasil","4.35.35021 Produção e distribuição de combustíveis gasosos por redes urbanas","8245"
"Brasil","4.35.35022 Produção e distribuição de vapor, água quente e ar condicionado","1522"
"Brasil","5 Água, esgoto, atividades de gestão de resíduos e descontaminação","707398"
"Brasil","5.36 Captação, tratamento e distribuição de água","142069"
"Brasil","5.36.36000 Captação, tratamento e distribuição de água","142069"
"Brasil","5.37 Esgoto e atividades relacionadas","6285"
"Brasil","5.37.37000 Esgoto e atividades relacionadas","6285"
"Brasil","5.38 Coleta, tratamento e disposição de resíduos; recuperação de materiais","558633"
"Brasil","5.38.38000 Coleta, tratamento e disposição de resíduos; recuperação de materiais","558633"
"Brasil","5.39 Descontaminação e outros serviços de gestão de resíduos","411"
"Brasil","5.39.39000 Descontaminação e outros serviços de gestão de resíduos","411"
"Brasil","6 Construção","6910789"
"Brasil","6.41 Construção e incorporação de edifícios","2881611"
"Brasil","6.41.41000 Construção de edifícios","2881611"
"Brasil","6.42 Obras de infraestrutura","132156"
"Brasil","6.42.42000 Construção de obras de infraestrutura","132156"
"Brasil","6.43 Serviços especializados para construção","3897022"
"Brasil","6.43.43000 Serviços especializados para construção","1942200"
"Brasil","6.43.43999 Atividades de construção não especificadas","1954823"
"Brasil","7 Comércio, reparação de veículos automotores e motocicletas","15034684"
"Brasil","7.45 Comércio e reparação de veículos automotores e motocicletas","2278879"
"Brasil","7.45.45010 Comércio de veículos automotores","209903"
"Brasil","7.45.45020 Manutenção e reparação de veículos automotores","1739321"
"Brasil","7.45.45030 Comércio de peças e acessórios para veículos automotores","203094"
"Brasil","7.45.45040 Comércio, manutenção e reparação de motocicletas, peças e acessórios","126561"
"Brasil","7.48 Comércio, exceto de veiculos automotores e motocicletas","12755805"
"Brasil","7.48.48010 Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas","120910"
"Brasil","7.48.48020 Comércio de matérias-primas agrícolas e animais vivos","157363"
"Brasil","7.48.48030 Comércio de produtos alimentícios, bebidas e fumo","2250777"
"Brasil","7.48.48041 Comércio de tecidos, artefatos de tecidos e armarinho","61866"
"Brasil","7.48.48042 Comércio de artigos do vestuário, complementos, calçados e artigos de viagem","818079"
