"Fonte","Atividade","Valor"
"Brasil","8.53 Correio e outras atividades de entrega","1964.53"
"Brasil","8.53.53001 Atividades de correio","3181.75"
"Brasil","8.53.53002 Atividades de malote e de entrega","1754.85"
"Brasil","9 Alojamento e alimentação","1938.60"
"Brasil","9.55 Alojamento","2266.13"
"Brasil","9.55.55000 Alojamento","2266.13"
"Brasil","9.56 Alimentação","1908.72"
"Brasil","9.56.56011 Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas","1950.84"
"Brasil","9.56.56012 Serviços de catering, bufê e outros Serviços de comida preparada","1544.09"
"Brasil","9.56.56020 Serviços ambulantes de alimentação","1264.15"
"Brasil","9.56.56999 Atividades de alimentação não especificadas","2131.73"
"Brasil","10 Informação e comunicação","5061.38"
"Brasil","10.58 Edição e edição integrada à de impressão","4664.37"
"Brasil","10.58.58000 Edição e edição integrada à impressão","4664.37"
"Brasil","10.59 Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e de música","4482.37"
"Brasil","10.59.59000 Atividades cinematográficas, produção de vídeos e de programas de televisão, gravação de som e de música","4482.37"
"Brasil","10.60 Atividades de rádio e de televisão","4039.54"
"Brasil","10.60.60001 Atividades de rádio","3171.88"
"Brasil","10.60.60002 Atividades de televisão","5408.48"
"Brasil","10.61 Telecomunicações","3314.47"
"Brasil","10.61.61000 Telecomunicações","3314.47"
"Brasil","10.62 Atividades dos serviços de tecnologia da informação","5940.98"
"Brasil","10.62.62000 Atividades dos serviços de tecnologia da informação","5940.98"
"Brasil","10.63 Atividades de prestação de serviços de informação","4807.00"
"Brasil","10.63.63000 Atividades de prestação de serviços de informação","4807.00"
"Brasil","11 Atividades financeiras, de seguros e serviços relacionados","6118.26"
"Brasil","11.64 Atividades de serviços financeiros","6381.96"
"Brasil","11.64.64000 Serviços financeiros","6381.96"
"Brasil","11.65 Seguros, resseguros, previdência complementar e planos de saúde","4758.46"
"Brasil","11.65.65000 Seguros e previdência privada","4758.46"
"Brasil","11.66 Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde","5937.88"
"Brasil","11.66.66001 Atividades auxiliares dos serviços financeiros","7347.23"
"Brasil","11.66.66002 Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde","5043.17"
"Brasil","12 Atividades imobiliárias","4648.19"
"Brasil","12.68 Atividades imobiliárias","4648.19"
"Brasil","12.68.68000 Atividades imobiliárias","4648.19"
"Brasil","13 Atividades profissionais, científicas e técnicas","5466.32"
"Brasil","13.69 Atividades jurídicas, de contabilidade e de auditoria","5866.93"
"Brasil","13.69.69000 Atividades jurídicas, de contabilidade e de auditoria","5866.93"
"Brasil","13.70 Atividades de consultoria em gestão empresarial","7027.56"
"Brasil","13.70.70000 Atividades de consultoria em gestão empresarial","7027.56"
"Brasil","13.71 Serviços de arquitetura e engenharia; testes e análises técnicas","5855.57"
"Brasil","13.71.71000 Serviços de arquitetura e engenharia e atividades técnicas relacionadas; testes e análises técnicas","5855.57"
"Brasil","13.72 Pesquisa e desenvolvimento científico","5368.13"
"Brasil","13.72.72000 Pesquisa e desenvolvimento científico","5368.13"
"Brasil","13.73 Publicidade e pesquisas de mercado","4923.33"
"Brasil","13.73.73010 Publicidade","4927.90"
"Brasil","13.73.73020 Pesquisas de mercado e opinião pública","4776.41"
"Brasil","13.74 Outras atividades profissionais, científicas e técnicas","3938.84"
"Brasil","13.74.74000 Outras atividades profissionais, científicas e técnicas não especificadas anteriormente","3938.84"
"Brasil","13.75 Atividades veterinárias","4418.18"
"Brasil","13.75.75000 Atividades veterinárias","4418.18"
"Brasil","14 Atividades administrativas e serviços complementares","1855.68"
"Brasil","14.77 Aluguéis não imobiliários e gestão de ativos intangíveis não financeiros","3723.33"
"Brasil","14.77.77010 Aluguel de objetos pessoais e domésticos","3174.81"
"Brasil","14.77.77020 Aluguel de meios de transportes, maquinas e equipamentos sem operador e gestão de ativos intangíveis não financeiros","3916.09"
"Brasil","14.78 Seleção, agenciamento e locação de mão-de-obra","3171.54"
"Brasil","14.78.78000 Seleção, agenciamento e locação de mão-de-obra","3171.54"
"Brasil","14.79 Agências de viagens, operadores turísticos e serviços de reservas","3662.67"
"Brasil","14.79.79000 Agências de viagens, operadores turísticos e serviços de reservas","3662.67"
"Brasil","14.80 Atividades de vigilância, segurança e investigação","2124.39"
"Brasil","14.80.80000 Atividades de vigilância, segurança, transporte de valores e investigação","2124.39"
"Brasil","14.81 Serviços para edificios e atividades paisagisticas","1530.85"
"Brasil","14.81.81011 Serviços de limpeza e de apoio a edifícios, exceto condomínios prediais","1458.13"
"Brasil","14.81.81012 Condomínios prediais","1906.89"
"Brasil","14.81.81020 Atividades paisagísticas","1737.91"
"Brasil","14.82 Serviços de escritório, de apoio administrativo e outros serviços prestados a empresas","2006.15"
"Brasil","14.82.82001 Serviços de escritório e apoio administrativo","2144.07"
"Brasil","14.82.82002 Atividades de teleatendimento","1550.04"
"Brasil","14.82.82003 Atividades de organização de eventos, exceto culturais e esportivos","1980.09"
"Brasil","14.82.82009 Outras atividades de serviços prestados principalmente às empresas","2358.64"
"Brasil","15 Administração pública, defesa e seguridade social","4928.55"
"Brasil","15.84 Administração pública, defesa e seguridade social","4928.55"
"Brasil","15.84.84011 Administração publica e regulação da política econômica e social - federal","6777.17"
"Brasil","15.84.84012 Administração publica e regulação da política econômica e social - estadual","5673.40"
"Brasil","15.84.84013 Administração publica e regulação da política econômica e social - municipal","2981.83"
"Brasil","15.84.84014 Defesa","5277.38"
"Brasil","15.84.84015 Outros serviços coletivos prestados pela administração pública - federal","8673.62"
"Brasil","15.84.84016 Outros serviços coletivos prestados pela administração pública - estadual","6385.53"
"Brasil","15.84.84017 Outros serviços coletivos prestados pela administração pública - municipal","3323.46"
"Brasil","15.84.84020 Seguridade social obrigatória","6175.35"
"Brasil","15.84.84997 Legislativo, esfera não especificada","4859.64"
"Brasil","15.84.84998 Tribunal de contas, esfera não especificada","5210.34"
"Brasil","15.84.84999 Administração pública - esfera não especificada","4655.35"
"Brasil","16 Educação","3424.61"
"Brasil","16.85 Educação","3424.61"
"Brasil","16.85.85011 Creche","2034.06"
"Brasil","16.85.85012 Pré-escola e ensino fundamental","3694.56"
"Brasil","16.85.85013 Ensino médio","3887.35"
"Brasil","16.85.85014 Educação superior","6822.18"
"Brasil","16.85.85021 Serviços auxiliares à educação","3739.15"
"Brasil","16.85.85029 Outras atividades de ensino","3112.83"
"Brasil","16.85.85999 Atividades de educação não especificadas","2992.42"
"Brasil","17 Saúde humana e serviços sociais","4225.03"
"Brasil","17.86 Atividades de atenção à saúde humana","4501.50"
"Brasil","17.86.86001 Atividades de atendimento hospitalar","4113.19"
"Brasil","17.86.86002 Atividades de atenção ambulatorial executadas por médicos e odontólogos","4621.32"
"Brasil","17.86.86003 Atividades de serviços de complementação diagnóstica e terapêutica","3394.40"
"Brasil","17.86.86004 Atividades de profissionais da área de saúde, exceto médicos e odontólogos","3622.55"
"Brasil","17.86.86009 Atividades de atenção à saúde humana não especificadas anteriormente","3059.95"
"Brasil","17.86.86999 Atividades de saúde não especificadas","5651.29"
"Brasil","17.87 Atividades de atenção à saúde humana integradas com assistência social, inclusive prestadas em residências coletivas e particulares","1988.08"
"Brasil","17.87.87000 Atividades de assistência à saúde humana integradas com assistência social, inclusive prestadas em residencias","1988.08"
"Brasil","17.88 Serviços de assistência social sem alojamento","2539.88"
"Brasil","17.88.88000 Serviços de assistência social sem alojamento","2539.88"
"Brasil","18 Artes, cultura, esporte e recreação","3106.95"
"Brasil","18.90 Atividades artísticas, criativas e de espetáculos","3421.81"
"Brasil","18.90.90000 Atividades artísticas, criativas e de espetáculos","3421.81"
"Brasil","18.91 Atividades ligadas ao patrimônio cultural e ambiental","3339.55"
"Brasil","18.91.91000 Atividades ligadas ao patrimônio cultural e ambiental","3339.55"
"Brasil","18.92 Atividades de exploração de jogos de azar e apostas","1471.59"
"Brasil","18.92.92000 Atividades de exploração de jogos de azar e apostas","1471.59"
"Brasil","18.93 Atividades esportivas e de recreação e lazer","2949.76"
"Brasil","18.93.93011 Atividades esportivas","3230.51"
"Brasil","18.93.93012 Atividades de condicionamento físico","2913.74"
"Brasil","18.93.93020 Atividades de recreação e lazer","2500.65"
"Brasil","19 Outras atividades de serviços","1915.77"
"Brasil","19.94 Atividades de organizações associativas","2999.36"
"Brasil","19.94.94010 Atividades de organizações associativas patronais, empresariais e profissionais","3971.55"
"Brasil","19.94.94020 Atividades de organizações sindicais","2838.60"
"Brasil","19.94.94091 Atividades de organizações religiosas e filosóficas","2824.87"
"Brasil","19.94.94099 Outras atividades associativas não especificadas anteriormente","3176.87"
"Brasil","19.95 Reparação e manutenção de equipamentos de informatica e comunicação e de objetos pessoais e domésticos","2106.25"
"Brasil","19.95.95010 Reparação e manutenção de equipamentos de informática e comunicação","2325.27"
"Brasil","19.95.95030 Reparação e manutenção de objetos e equipamentos pessoais e domésticos","2056.77"
"Brasil","19.96 Outras atividades de serviços pessoais","1763.73"
"Brasil","19.96.96010 Lavanderias, tinturarias e toalheiros","1849.22"
"Brasil","19.96.96020 Cabeleireiros e outras atividades de tratamento de beleza","1620.50"
"Brasil","19.96.96030 Atividades funerárias e serviços relacionados","2198.96"
"Brasil","19.96.96090 Outras atividades de serviços pessoais","2183.34"
"Brasil","20 Serviços domésticos","1059.57"
"Brasil","20.97 Serviços domésticos","1059.57"
"Brasil","20.97.97000 Serviços domésticos","1059.57"
"Brasil","21 Organismos internacionais e outras instituições extraterritoriais","9086.75"
"Brasil","21.99 Organismos internacionais e outras instituições extraterritoriais","9086.75"
"Brasil","21.99.99000 Organismos internacionais e outras instituições extraterritoriais","9086.75"
"Brasil","22 Atividades maldefinidas","3320.87"
"Brasil","22.00 Atividades maldefinidas","3320.87"
"Brasil","22.00.00000 Atividades maldefinidas","3395.54"
"Brasil","22.00.00999 Serviços gerais, biscate - atividades não especificadas","1269.73"
